City,Bathroom,Balcony,BHK,Area (Sqft),Floor Ratio,New Property,Resale,Furnished,Semi-Furnished,Freehold,Co-operative Society,Leasehold,Power Of Attorney,Age Less than 5 Years,Age 5 to 10 Years,Age 15 to 20 Years,New Construction,Age above 20 Years,Main Road,Garden/Park,Pool,Parking Spaces,Amount (Lac)
Agra,2,2,2,1000,0.6,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,43
Agra,2,2,2,820,0.35,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,42
Agra,2,1,2,870,0.36,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,37
Agra,2,2,3,1100,0.5,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,56
Agra,3,2,3,1600,0.33,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,58
Agra,3,1,3,1680,0.5,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,59
Agra,2,3,2,1250,0.86,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,49
Agra,2,2,2,1150,0.6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,47
Agra,3,2,2,1384,0.33,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,45
Agra,2,2,2,1250,0.09,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,42
Agra,2,2,2,950,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,42
Agra,2,2,3,1254,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,47
Agra,2,2,3,1254,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,42
Agra,2,2,2,918,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,33
Agra,2,2,2,1023,0.2,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,33
Agra,2,3,2,1250,0.92,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,49
Agra,3,3,3,1675,0.21,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,62
Agra,3,1,3,1087,0.83,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,34
Agra,2,1,3,1004,0.33,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,40
Agra,2,2,2,1100,0.6,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,38
Agra,3,2,3,1000,0.5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,35
Agra,2,2,3,1254,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,50
Agra,2,2,3,1254,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,45
Agra,3,3,3,1604,1.0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,60
Agra,3,1,3,900,0.0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,42
Agra,2,1,2,1050,0.75,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,45
Agra,2,2,3,1500,0.75,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,60
Agra,3,2,3,1500,0.67,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,48
Agra,2,1,3,1014,0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,41
Agra,2,1,2,875,0.86,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,35
Agra,2,1,2,890,0.75,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,35
Agra,2,1,3,915,0.0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,36
Agra,2,2,2,1000,0.25,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,45
Agra,2,1,2,1300,0.33,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,50
Agra,3,2,3,1675,0.77,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,55
Ahmedabad,2,2,2,1235,0.7,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,60
Ahmedabad,2,1,2,684,0.08,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,55
Ahmedabad,3,1,3,1450,0.93,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,71
Ahmedabad,2,2,2,1226,1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,69
Ahmedabad,3,1,3,810,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,85
Ahmedabad,2,1,3,1427,0.94,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,75
Ahmedabad,2,1,2,691,0.58,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,58
Ahmedabad,3,2,3,1863,0.5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,90
Ahmedabad,3,1,3,968,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,82
Ahmedabad,2,2,2,710,0.67,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,55
Ahmedabad,3,2,3,1300,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,65
Ahmedabad,3,2,3,1305,0.62,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,75
Ahmedabad,2,1,2,1500,0.29,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,60
Ahmedabad,3,1,3,1500,0.38,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,76
Ahmedabad,2,1,2,850,0.6,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,71
Ahmedabad,3,1,3,990,0.4,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,88
Ahmedabad,3,2,3,990,0.46,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,82
Ahmedabad,2,2,2,900,0.75,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,50
Ahmedabad,3,1,3,864,1.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,72
Ahmedabad,3,2,3,965,0.64,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,86
Ahmedabad,3,2,3,1350,0.75,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,90
Ahmedabad,3,1,3,1485,0.73,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,88
Ahmedabad,3,1,3,999,0.73,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,70
Ahmedabad,3,1,3,965,0.31,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,73
Ahmedabad,2,3,2,1107,0.45,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,60
Ahmedabad,3,1,3,1111,0.89,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,75
Ahmedabad,3,1,3,1111,0.56,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,73
Ahmedabad,2,2,2,900,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,60
Ahmedabad,3,1,3,826,0.36,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,88
Ahmedabad,3,1,3,1665,0.4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,99
Ahmedabad,2,4,2,990,0.67,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,55
Ahmedabad,3,2,3,861,0.5,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,90
Ahmedabad,3,2,3,1890,0.14,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,95
Ahmedabad,2,1,3,945,0.57,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,71
Ahmedabad,2,1,2,1035,0.09,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,60
Ahmedabad,2,1,3,810,1.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,75
Ahmedabad,2,2,3,1200,0.3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,75
Ahmedabad,3,1,3,850,0.71,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,85
Ahmedabad,2,2,2,1273,0.77,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,65
Ahmedabad,2,1,2,642,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,52
Ahmedabad,3,2,3,1760,0.43,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,97
Ahmedabad,2,2,2,701,0.0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,51
Ahmedabad,3,1,3,1121,0.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,76
Ahmedabad,2,1,2,900,0.2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,55
Ahmedabad,3,1,3,1500,0.64,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,66
Ahmedabad,2,1,2,1170,0.67,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,67
